Br,Bt,Bn,B,ddoy,Np,Vth,Vr,Vt,Vn,QF,Vsw,Beta_p,date
-21.829956,3.032317,-14.877465,26.590992,259.8177083333333,26.15937,46.947334,362.69705,-26.251688,29.653343,0.7543036151628962,371.3305,0.17139089,2023-09-16 19:37:30
-25.257145,4.755252,-12.731661,28.681543,259.8184027777778,24.301517,43.848766,348.79855,-34.85173,29.874016,0.0,354.3804,0.119385265,2023-09-16 19:38:30
-24.327726,-5.3144107,-9.637896,26.701504,259.81909722222224,30.07523,47.458515,339.2621,-121.265785,39.603764,0.0,365.96112,0.19969787,2023-09-16 19:39:30
-7.0914993,4.478216,-24.325377,25.730677,259.8197916666667,32.086617,58.235085,426.4438,-73.37672,-54.459682,0.0,436.21362,0.34546065,2023-09-16 19:40:30
-2.2056758,3.991949,-26.362438,26.754044,259.8204861111111,29.337784,54.00478,411.34485,-36.42549,-44.07158,0.0,415.61258,0.25125834,2023-09-16 19:41:30
-9.355973,5.263116,-25.79229,27.937016,259.82118055555554,28.315853,55.901966,428.43362,-28.433727,-48.260464,0.0,432.08884,0.23830403,2023-09-16 19:42:30
-11.74054,-0.38090605,-25.997131,28.527815,259.821875,29.357685,50.04686,387.88068,-71.13228,-36.87348,0.0,396.41632,0.18990925,2023-09-16 19:43:30
-15.229326,5.3692846,-23.976053,28.906967,259.82256944444447,28.065306,48.18536,383.24588,-39.743553,-28.60226,0.0,386.7752,0.16390891,2023-09-16 19:44:30
-15.64759,2.1392035,-23.724447,28.500399,259.8232638888889,29.07366,49.56075,383.6646,-47.030823,-35.361443,0.0,388.58194,0.18479118,2023-09-16 19:45:30
-14.025406,-7.021944,-23.05008,27.880564,259.82395833333334,32.749237,53.538437,382.37103,-90.900795,-36.803825,0.0,395.1485,0.25382656,2023-09-16 19:46:30
-14.25464,3.5983896,-23.992535,28.138674,259.82465277777777,28.186743,52.223217,393.12247,-39.542076,-33.854824,0.0,397.08264,0.20406687,2023-09-16 19:47:30
-13.763612,5.229709,-24.411655,28.50817,259.8253472222222,27.478329,48.826164,381.9859,-67.37056,-30.307354,0.0,389.47534,0.16941993,2023-09-16 19:48:30
-16.520777,3.4850419,-23.41844,28.870485,259.82604166666664,27.004734,49.331013,384.6929,-41.964176,-30.605686,0.0,388.18442,0.16572173,2023-09-16 19:49:30
-15.167687,2.0092468,-23.578888,28.108002,259.82673611111113,27.849094,52.375614,384.92993,-55.96456,-18.22434,0.0,389.61526,0.20324367,2023-09-16 19:50:30
-9.7274475,20.56393,-17.551863,28.73267,259.82743055555557,27.270563,52.878998,407.82443,14.339307,8.586808,0.0,408.37097,0.1941405,2023-09-16 19:51:30
-13.860382,17.140238,-19.966883,29.741795,259.828125,27.505276,51.006817,391.94284,5.2764072,3.3156652,0.0,392.57816,0.1700379,2023-09-16 19:52:30
-16.290884,6.366651,-21.598806,27.792725,259.82881944444443,31.834337,55.4335,372.23242,-58.76889,-0.051192317,0.0,380.34766,0.26618636,2023-09-16 19:53:30
-14.447258,9.712823,-23.625881,29.346966,259.82951388888887,31.06038,56.328358,390.12234,-33.078575,-22.611078,0.0,392.22476,0.24051498,2023-09-16 19:54:30
-14.408179,18.349543,-17.240725,29.009377,259.83020833333336,26.286484,51.135082,387.24396,15.7056875,11.175689,0.0,388.71362,0.1716727,2023-09-16 19:55:30
-10.716704,24.688189,-11.0881605,29.108448,259.8309027777778,25.903034,50.327564,393.1879,17.088594,12.872374,0.0,393.77753,0.16275409,2023-09-16 19:56:30
-13.8581085,25.206703,-5.199327,29.231115,259.83159722222223,27.959402,54.43686,388.54272,26.715286,43.462486,0.0,392.13528,0.20381252,2023-09-16 19:57:30
-16.226154,14.089432,-18.723036,28.501793,259.83229166666666,29.034641,51.195004,384.58878,-11.122377,7.8525333,0.0,385.8453,0.19689511,2023-09-16 19:58:30
-17.528166,12.996685,-20.794817,30.142574,259.8329861111111,29.9291,51.684402,378.9371,-19.000132,-18.874277,0.0,380.0676,0.18495227,2023-09-16 19:59:30
-16.089754,19.346983,-16.651289,30.173685,259.83368055555553,28.78349,51.986782,387.9164,12.85299,10.9037695,0.5982273577017717,388.66455,0.17958921,2023-09-16 20:00:30
-16.336357,15.971603,-18.106764,29.151733,259.834375,29.613394,53.2367,379.56488,-13.0320215,-5.7632885,0.0,379.85495,0.20758183,2023-09-16 20:01:30
-17.120817,14.063298,-19.060091,29.226458,259.83506944444446,31.426147,58.32399,375.531,-56.48647,-37.260067,0.0,382.50208,0.26305154,2023-09-16 20:02:30
-19.646347,14.8958435,-14.304189,28.503946,259.8357638888889,26.503237,53.21613,353.47794,-18.144068,38.54686,0.0,356.07397,0.19417045,2023-09-16 20:03:30
-20.36375,18.960419,-10.333655,29.681042,259.8364583333333,24.558283,45.399,377.26443,8.559163,32.831936,0.0,378.83655,0.12076467,2023-09-16 20:04:30
-20.736788,14.283676,-12.365825,28.052654,259.83715277777776,30.805323,52.38191,379.30374,5.596989,30.031187,0.0,381.6322,0.22576058,2023-09-16 20:05:30
-18.379948,3.3203387,-19.355515,26.89764,259.8378472222222,30.446442,53.44778,383.80463,-24.69436,14.018791,0.0,385.8346,0.25268248,2023-09-16 20:06:30
-17.894302,-6.05618,-17.998922,26.092999,259.8385416666667,32.003895,53.21729,376.4962,-89.613556,7.2287006,0.0,388.57193,0.27981305,2023-09-16 20:07:30
-19.252335,-10.7721,-16.195066,27.367329,259.8392361111111,35.035786,57.166924,368.97427,-134.03859,-13.885632,0.0,392.89078,0.32132483,2023-09-16 20:08:30
-21.47133,-0.042812757,-17.266964,27.553001,259.83993055555555,32.203087,59.468716,360.4323,-65.90812,-23.081793,0.0,367.18027,0.31531486,2023-09-16 20:09:30
-19.48972,7.1478124,-18.800385,28.00705,259.840625,32.44336,58.822304,365.8294,-39.265583,-21.960325,0.0,368.65338,0.30080342,2023-09-16 20:10:30
-16.187628,11.931027,-20.229916,28.524343,259.8413194444444,29.8252,58.46045,396.37405,-25.987469,-39.735752,0.0,399.3765,0.26332006,2023-09-16 20:11:30
-13.933274,13.446167,-20.996462,28.561985,259.8420138888889,26.418522,51.19223,385.90857,-11.531081,-27.304174,0.0,387.07886,0.17838055,2023-09-16 20:12:30
