ddoy B Bx By Bz Np Vth Vsw
273.335 6.64139 2.22192 3.50391 5.16705 9.53785 22.2202 356.272
273.336 6.63511 1.94021 3.07467 5.54484 10.7 24.0176 356.92
273.337 6.74101 1.76731 2.57112 5.95728 9.65221 22.3175 357.917
273.338 6.51821 1.50095 1.77906 6.04301 11.0491 22.2881 357.646
273.339 6.61409 1.6577 1.65117 6.15207 10.1556 22.6318 357.611
273.34 6.74499 2.146 2.51267 5.85362 8.5594 22.0657 358.075
273.341 6.79173 2.27443 3.52163 5.32625 9.29094 22.7435 356.177
273.342 6.75257 2.15785 3.85693 5.10103 9.40433 23.4723 357.136
273.344 6.72077 2.00952 3.83653 5.12063 9.62979 23.4362 359.646
273.345 6.74055 1.99663 3.61638 5.30157 9.54748 23.8426 357.419
273.346 6.72371 2.6595 3.47032 4.9966 10.4476 26.1963 349.308
273.347 6.59383 2.52982 -0.148878 5.7364 13.7905 31.0721 352.88
273.348 6.77605 1.25948 -1.82226 6.31757 9.7705 21.0684 361.874
273.349 6.93105 2.25791 -1.25452 6.38073 10.9371 23.8471 353.12
273.35 6.91204 1.77215 -1.31496 6.53432 10.3294 22.597 355.412
273.351 6.69767 1.95006 -1.69767 6.15552 11.4255 23.6099 359.472
273.352 6.56183 2.36314 -1.63163 5.85729 10.8442 22.4493 356.587
273.353 6.69663 2.16717 -1.41892 6.15251 10.8477 21.9087 359.43
273.355 6.81215 1.73263 -1.30678 6.45441 10.3754 22.3932 358.954
273.356 6.85535 1.51227 -1.44894 6.52157 10.9827 22.4934 360.023
273.357 6.74261 2.52511 -1.3663 6.05875 10.3016 21.7137 358.192
273.358 6.5764 3.78113 -1.47019 5.13196 12.2396 25.6295 355.168
273.359 6.65919 4.18415 -1.68563 4.87982 10.5031 22.0179 358.824
273.36 6.62996 3.17289 -1.78778 5.49596 11.0115 22.7319 356.512
273.361 6.48483 2.63213 -1.61052 5.68941 11.7572 23.5103 353.554
273.363 6.52067 0.879783 -1.15563 6.26445 15.6526 29.2538 359.646
273.364 6.58021 0.947108 -1.51136 6.29859 11.3204 22.1542 363.718
273.365 6.60144 2.14007 -1.00525 6.08734 12.6426 25.6109 356.933
273.366 6.50956 2.3413 -0.274827 5.96783 12.1488 24.3411 358.55
273.367 6.51576 3.25084 -0.172397 5.60448 13.8373 26.8864 357.852
273.368 7.05903 2.96533 -2.32071 5.82422 10.3248 23.5049 356.841
273.369 7.34119 2.89218 -3.24169 5.90776 9.75897 24.1734 356.937
273.37 7.2847 2.47558 -3.48146 5.88052 9.9415 23.5027 357.373
273.371 7.00448 2.41707 -4.10469 5.04444 10.6839 24.5397 357.932
273.372 6.97349 3.69379 -3.92436 4.34689 11.207 25.8391 353.116
273.374 7.05121 3.74668 -4.33246 4.10159 11.467 25.7575 354.026
273.375 6.5371 3.48912 -4.16703 3.59953 12.3053 26.4436 353.762
273.376 6.07462 3.02559 -4.05676 3.35392 14.0387 27.3885 351.986
273.377 6.13136 3.09761 -4.02483 3.4242 14.0464 27.4032 352.961
273.378 6.1497 3.17859 -4.00245 3.40396 14.7521 29.1928 351.331
273.38 6.40501 2.07148 -4.48563 4.03386 14.1536 28.4337 357.838
273.381 6.46361 2.98663 -3.20453 4.61871 13.0481 26.9382 356.156
273.382 6.51027 3.65353 -1.46248 5.09705 14.2404 28.7008 352.518
273.384 7.13083 2.96399 -4.10015 4.74367 11.898 25.4022 355.441
273.385 7.1921 4.2595 -0.827177 5.6962 10.9452 23.8746 347.131
273.386 7.1903 2.20797 -3.54888 5.7666 10.8676 24.0338 360.3
273.387 7.12959 3.0984 -1.57746 6.06576 11.692 26.0707 353.218
273.388 7.26455 2.75298 -3.44664 5.7057 11.4679 25.8731 355.371
273.389 7.40607 2.27618 -4.3642 5.435 11.6301 25.1186 358.937
273.39 7.28671 3.6198 -2.41412 5.83791 11.3148 25.1888 349.821
273.391 7.26897 3.78081 -2.08749 5.83874 11.3857 25.5266 351.815
273.393 7.34164 3.7427 -2.29593 5.86862 10.7392 24.4564 353.213
273.394 7.34534 3.45636 -2.92582 5.7742 11.0857 24.7856 354.009
273.395 7.2087 3.71661 -2.79219 5.49603 11.2288 24.1822 354.927
273.396 7.18065 3.60743 -2.83624 5.51671 11.8491 24.9205 354.963
273.397 7.24706 3.23024 -3.17548 5.64829 11.3292 24.1032 357.788
273.398 7.27621 3.80172 -3.14599 5.32448 11.2287 24.0676 360.047
273.399 7.28802 2.60065 -3.31325 5.94048 11.4785 25.1741 359.933
273.4 7.23986 3.29055 -3.02648 5.68438 11.5933 24.8896 354.686
273.401 7.2754 3.04954 -3.04493 5.84695 11.7555 25.625 357.886
273.402 7.27179 2.94903 -3.4366 5.6654 12.1568 25.1961 355.729
273.404 7.28899 2.65416 -3.21607 5.9544 10.31 23.2872 359.643
273.405 7.33681 2.85577 -2.98946 6.03926 10.7434 23.6968 359.829
273.406 7.36836 2.85025 -3.00609 6.08106 11.569 24.5878 360.876
273.407 7.3499 2.55921 -2.48894 6.4115 11.4753 24.5372 361.994
273.408 7.58632 2.66113 -2.57493 6.61944 10.9956 25.0413 359.481
273.409 7.67255 2.6551 -2.53185 6.73758 10.706 24.1532 360.308
273.41 7.6823 2.71205 -2.56222 6.71409 10.883 23.6904 361.392
273.412 7.64089 2.74822 -2.63689 6.62105 10.9361 24.6176 361.565
273.413 7.69585 2.68809 -2.50157 6.75567 10.887 24.2033 360.368
273.414 7.7162 2.64309 -2.26317 6.86577 10.7119 25.6662 358.738
