Br,Bt,Bn,B,ddoy,Vr,Vt,Vn,Np,Tp,Vsw,Beta_p,date
-22.102419,2.5541296,18.90607,29.19726,67.59061342592592,277.37546,-7.3337464,5.751157,32.976868,4.638716,277.53558,0.072256014,2022-03-08 14:10:29.999995
-22.061409,-0.3021369,19.706789,29.583012,67.59131944444445,275.68036,-9.009074,-4.772439,30.657948,4.854045,275.86975,0.068472005,2022-03-08 14:11:30.000002
-21.795143,-0.5494423,17.442877,27.921034,67.59200231481482,269.69806,-6.2894993,5.1533885,37.48317,5.5812836,269.82608,0.10805835,2022-03-08 14:12:29.999998
-20.78327,0.92349225,18.705568,27.976694,67.59269675925925,268.1834,-8.106019,4.278125,37.958115,5.171284,268.35583,0.100986004,2022-03-08 14:13:29.999995
-22.40995,0.5606886,17.36056,28.353294,67.59340277777778,265.499,-9.062946,4.051896,37.05277,4.9143643,265.6862,0.09120779,2022-03-08 14:14:30.000001
-22.336267,0.47388303,17.601795,28.442162,67.59408564814815,264.18024,-15.0166855,5.205973,39.262825,4.9049735,264.65927,0.09586144,2022-03-08 14:15:29.999998
-20.88442,3.821749,19.184422,28.614801,67.59479166666667,264.67252,-9.576507,5.135953,35.69794,4.6775784,264.8964,0.08211712,2022-03-08 14:16:30.000004
-22.21662,0.15531206,18.20144,28.720982,67.59548611111111,268.3754,-12.49209,8.0378275,35.881744,5.0228395,268.79227,0.08797823,2022-03-08 14:17:30.000001
-21.832516,-0.13961793,19.180723,29.06163,67.59616898148148,260.8576,-17.263222,3.7455456,35.92104,4.6813927,261.4554,0.08017426,2022-03-08 14:18:29.999997
-21.814493,-0.010760724,19.019064,28.941269,67.596875,259.12637,-15.459473,-1.1714658,34.41575,4.903503,259.5957,0.08112962,2022-03-08 14:19:30.000004
-23.556793,-2.148706,17.596464,29.481773,67.59756944444445,272.20288,-5.258695,-1.5658447,28.177628,4.189486,272.25925,0.054690126,2022-03-08 14:20:30.000000
-23.008114,-1.1879777,18.095543,29.295618,67.59825231481481,273.39886,-8.721063,-4.010438,29.934631,4.6191506,273.5686,0.06487564,2022-03-08 14:21:29.999996
-23.071598,-3.140367,17.73201,29.26747,67.59895833333333,272.5297,-11.190789,1.0915405,33.115757,5.4536853,272.77155,0.08489954,2022-03-08 14:22:30.000003
-24.015928,-5.055604,14.854283,28.687517,67.5996412037037,270.22287,-11.497184,-1.0807025,33.59966,5.4548817,270.4773,0.089677855,2022-03-08 14:23:29.999999
